weed_x,weed_y,sprayed
-6.414125442504883,0.13700523972511292,1.0
-5.005163192749024,-0.0640411227941513,0.0
-4.868757247924806,0.03593339025974273,1.0
-4.46100902557373,0.032748136669397354,0.0
-4.4643239974975595,-0.056705456227064126,0.0
-3.81383228302002,0.058062661439180374,1.0
-3.637803316116333,-0.04100315645337104,1.0
-3.568932056427002,-0.09825952351093292,0.0
-3.4142324924468994,0.01696119271218777,0.0
-3.1945583820343018,0.1194644197821617,1.0
-3.1196262836456294,0.07264740020036697,1.0
-2.9821963310241695,-0.1892394572496414,0.0
-2.5338127613067623,0.0707249641418457,0.0
-2.455935001373291,0.08224403858184814,0.0
-2.469995260238648,-0.22898218035697934,0.0
-2.1645357608795166,0.014890442602336407,0.0
-2.0058622360229488,0.02849789336323738,0.0
-1.945954203605652,0.12414902448654178,0.0
-1.9559837579727168,-0.14526133239269254,0.0
-1.5953590869903564,-0.07360576093196866,1.0
-0.9029036164283752,-0.1131284162402153,1.0
-0.9107518792152404,-0.2539622187614441,0.0
-0.8452934026718139,0.05402066186070442,1.0
-0.7022641897201537,0.028705198317766186,1.0
-0.7123066782951355,-0.1148926764726639,0.0
-0.6326550841331482,0.03915779665112496,0.0
-0.5404736399650573,0.117465503513813,0.0
-0.5419778227806092,-0.13162833452224731,0.0
-0.4022399187088013,0.04854414984583855,0.0
-0.3345552384853363,0.08154692500829697,1.0
-0.3247337341308594,-0.010414984077215193,0.0
-0.17506025731563568,0.09722024202346802,1.0
0.120312936604023,-0.17187397181987762,0.0
0.3623538315296173,0.13117195665836334,1.0
0.3724203705787658,-0.21577630937099454,0.0
0.43512243032455433,-0.07224375009536743,1.0
0.5035227537155152,-0.25992342829704285,0.0
0.5783810019493103,-0.21317255496978757,0.0
0.6847172379493713,0.07386577129364012,1.0
0.6867013573646547,-0.0041148378513753405,0.0
0.8294842243194579,0.1279000788927078,0.0
0.901810944080353,0.14335627853870392,1.0
1.2056089639663696,-0.25384801626205444,0.0
1.6897647380828855,0.02023392543196678,1.0
1.7505452632904053,-0.02921710535883904,1.0
1.8502265214920044,-0.15319886803627014,0.0
1.9100122451782224,0.14939624071121216,1.0
1.9829038381576536,0.0850086435675621,1.0
2.1595706939697266,-0.004486264660954475,0.0
2.198671817779541,0.1979234367609024,0.0
2.2535266876220703,0.2604288160800934,1.0
2.3976416587829585,0.2468133866786957,1.0
2.461392879486084,0.21662741899490362,1.0
2.5825982093811035,0.19440117478370664,1.0
2.6460630893707275,0.09406693279743193,0.0
2.859734058380127,0.12686930596828463,0.0
2.857119560241699,0.030818579718470573,0.0
2.930283308029175,0.2458203732967377,1.0
2.9374244213104252,0.01750612072646618,0.0
3.0948820114135747,0.03206482902169228,0.0
3.1564884185791016,0.2436759173870086,1.0
3.1622133255004874,0.16759343445301056,1.0
3.4651539325714116,-0.16880346834659576,0.0
3.555773973464966,-0.07594557851552962,0.0
3.6089730262756343,0.10166367888450623,0.0
3.7539546489715576,0.1741896420717239,0.0
3.9228236675262456,0.22957882285118106,0.0
3.9194512367248535,0.11601637303829193,0.0
4.056078433990479,0.23978415131568906,1.0
4.21552276611328,0.1797422468662262,1.0
4.196815013885497,-0.10729782283306122,1.0
4.268803596496582,-0.12801186740398407,0.0
4.348280429840088,0.05238102003931999,0.0
4.338889598846436,-0.15450558066368103,0.0
4.42716121673584,0.19496245682239527,1.0
4.409049510955811,-0.017827473580837246,0.0
4.515655517578125,0.07875802367925645,1.0
4.584908485412598,-0.07767455279827118,0.0
4.668651580810546,0.032228734344244,0.0
4.667143821716308,-0.17962466180324552,0.0
4.751430034637451,0.173555850982666,1.0
4.728679180145264,-0.09901456534862518,0.0
4.838211536407472,0.2424459755420685,1.0
4.831348896026612,0.14760203659534454,0.0
4.915816783905028,0.2141729444265366,1.0
4.983314037322998,0.07285318523645401,
